,generation,valid_accuracy
140,1410.0,0.87109375
141,1420.0,0.87109375
142,1430.0,0.8720703125
143,1440.0,0.8544921875
144,1450.0,0.865234375
145,1460.0,0.8720703125
146,1470.0,0.857421875
147,1480.0,0.8818359375
148,1490.0,0.8681640625
149,1500.0,0.8759765625
150,1510.0,0.8642578125
151,1520.0,0.8759765625
152,1530.0,0.8759765625
153,1540.0,0.875
154,1550.0,0.869140625
155,1560.0,0.865234375
156,1570.0,0.8837890625
157,1580.0,0.8583984375
158,1590.0,0.8759765625
159,1600.0,0.888671875
160,1610.0,0.87109375
161,1620.0,0.8955078125
162,1630.0,0.8916015625
163,1640.0,0.896484375
164,1650.0,0.888671875
165,1660.0,0.8798828125
166,1670.0,0.8876953125
167,1680.0,0.8671875
168,1690.0,0.8857421875
169,1700.0,0.880859375
170,1710.0,0.896484375
171,1720.0,0.880859375
172,1730.0,0.873046875
173,1740.0,0.8583984375
174,1750.0,0.87890625
175,1760.0,0.8828125
176,1770.0,0.8740234375
177,1780.0,0.87890625
178,1790.0,0.87890625
179,1800.0,0.8857421875
180,1810.0,0.8818359375
181,1820.0,0.8984375
182,1830.0,0.884765625
183,1840.0,0.876953125
184,1850.0,0.8779296875
185,1860.0,0.8798828125
186,1870.0,0.873046875
187,1880.0,0.8828125
188,1890.0,0.861328125
189,1900.0,0.884765625
190,1910.0,0.892578125
191,1920.0,0.8916015625
192,1930.0,0.89453125
193,1940.0,0.892578125
194,1950.0,0.900390625
195,1960.0,0.8955078125
196,1970.0,0.8740234375
197,1980.0,0.880859375
198,1990.0,0.888671875
199,2000.0,0.8916015625
200,2010.0,0.8740234375
201,2020.0,0.8955078125
202,2030.0,0.89453125
203,2040.0,0.875
204,2050.0,0.8779296875
205,2060.0,0.888671875
206,2070.0,0.8935546875
207,2080.0,0.8994140625
208,2090.0,0.8876953125
209,2100.0,0.896484375
210,2110.0,0.8779296875
211,2120.0,0.890625
212,2130.0,0.90234375
213,2140.0,0.896484375
214,2150.0,0.8916015625
215,2160.0,0.8935546875
216,2170.0,0.8876953125
217,2180.0,0.89453125
218,2190.0,0.8828125
219,2200.0,0.900390625
220,2210.0,0.8740234375
221,2220.0,0.8837890625
222,2230.0,0.8994140625
223,2240.0,0.8935546875
224,2250.0,0.890625
225,2260.0,0.892578125
226,2270.0,0.888671875
227,2280.0,0.8896484375
228,2290.0,0.8837890625
229,2300.0,0.89453125
230,2310.0,0.875
231,2320.0,0.890625
232,2330.0,0.8935546875
233,2340.0,0.8779296875
234,2350.0,0.8818359375
235,2360.0,0.8828125
236,2370.0,0.8994140625
237,2380.0,0.896484375
238,2390.0,0.90234375
239,2400.0,0.8828125
240,2410.0,0.908203125
241,2420.0,0.9033203125
242,2430.0,0.90234375
243,2440.0,0.888671875
244,2450.0,0.8896484375
245,2460.0,0.8935546875
246,2470.0,0.91015625
247,2480.0,0.8837890625
248,2490.0,0.8994140625
249,2500.0,0.8916015625
250,2510.0,0.890625
251,2520.0,0.8857421875
252,2530.0,0.908203125
253,2540.0,0.884765625
254,2550.0,0.89453125
255,2560.0,0.892578125
256,2570.0,0.8974609375
257,2580.0,0.8984375
258,2590.0,0.8779296875
259,2600.0,0.8984375
260,2610.0,0.896484375
261,2620.0,0.873046875
262,2630.0,0.87890625
